theover_key,league,date_local,away_code,home_code,theover_pick,theover_market_type,theover_line,theover_model,theover_hit_rate,raw_text,away_team_raw,home_team_raw,pick_validation_status,pick_validation_warning
NCAAB|STET|CARK|2026-02-19,NCAAB,2026-02-19,CARK,STET,Under,TOTAL,148.5,TheOver,0.833333333,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Central Arkansas', 'AWAYTEAM': 'Stetson', 'HOMEKALSHI': 'CENTRAL ARKANSAS', 'AWAYKALSHI': 'STETSON', 'PICK': 'Under', 'PICKCODE': 'OU_UNDER', 'LINE': 148.5, 'WINPROBABILITY': 0.833333333, 'MARKET': 'Total', 'MATCHUP': 'Central Arkansas @ Stetson'}",Central Arkansas,Stetson,valid,
NCAAB|PSU|IDA|2026-02-19,NCAAB,2026-02-19,IDA,PSU,Under,TOTAL,142.5,TheOver,0.875,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Idaho', 'AWAYTEAM': 'Portland St.', 'HOMEKALSHI': 'IDAHO', 'AWAYKALSHI': 'PORTLAND ST', 'PICK': 'Under', 'PICKCODE': 'OU_UNDER', 'LINE': 142.5, 'WINPROBABILITY': 0.875, 'MARKET': 'Total', 'MATCHUP': 'Idaho @ Portland St.'}",Idaho,Portland St.,valid,
NCAAB|CON|LEM|2026-02-19,NCAAB,2026-02-19,LEM,CON,Under,TOTAL,146.5,TheOver,0.791666667,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Le Moyne', 'AWAYTEAM': 'Central CT', 'HOMEKALSHI': 'LE MOYNE', 'AWAYKALSHI': 'CENTRAL CT', 'PICK': 'Under', 'PICKCODE': 'OU_UNDER', 'LINE': 146.5, 'WINPROBABILITY': 0.791666667, 'MARKET': 'Total', 'MATCHUP': 'Le Moyne @ Central CT'}",Le Moyne,Central CT,valid,
NCAAB|NJIT|ALB|2026-02-19,NCAAB,2026-02-19,ALB,NJIT,Under,TOTAL,143.5,TheOver,0.791666667,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Albany', 'AWAYTEAM': 'NJIT', 'HOMEKALSHI': 'ALBANY', 'AWAYKALSHI': 'NJIT', 'PICK': 'Under', 'PICKCODE': 'OU_UNDER', 'LINE': 143.5, 'WINPROBABILITY': 0.791666667, 'MARKET': 'Total', 'MATCHUP': 'Albany @ NJIT'}",Albany,NJIT,valid,
NBA|CHA|HOU|2026-02-19,NBA,2026-02-19,HOU,CHA,HOU,SIDE,-3.5,TheOver,0.605,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Charlotte', 'AWAYTEAM': 'Houston', 'PICK': 'HOU', 'LINE': -3.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Houston'}",Houston Rockets,Charlotte Hornets,valid,
NBA|CHI|TOR|2026-02-19,NBA,2026-02-19,TOR,CHI,CHI,SIDE,5.5,TheOver,0.515,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Chicago', 'AWAYTEAM': 'Toronto', 'PICK': 'CHI', 'LINE': 5.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Chicago'}",Toronto,Chicago Bulls,valid,
NBA|CLE|BKN|2026-02-19,NBA,2026-02-19,BKN,CLE,CLE,SIDE,-15.5,TheOver,0.7250000000000001,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Cleveland', 'AWAYTEAM': 'Brooklyn', 'PICK': 'CLE', 'LINE': -15.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Cleveland'}",Brooklyn Nets,Cleveland Cavaliers,valid,
NBA|GSW|BOS|2026-02-19,NBA,2026-02-19,BOS,GSW,BOS,SIDE,-2.5,TheOver,0.595,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Golden State', 'AWAYTEAM': 'Boston', 'PICK': 'BOS', 'LINE': -2.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Boston'}",Boston,Golden State,valid,
NBA|LAC|DEN|2026-02-19,NBA,2026-02-19,DEN,LAC,LAC,SIDE,4.5,TheOver,0.525,"{'LEAGUE': 'NBA', 'HOMETEAM': 'L.A. Clippers', 'AWAYTEAM': 'Denver', 'PICK': 'LAC', 'LINE': 4.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'L.A. Clippers'}",Denver Nuggets,L.A. Clippers,valid,
NBA|NYK|DET|2026-02-19,NBA,2026-02-19,DET,NYK,DET,SIDE,4.5,TheOver,0.525,"{'LEAGUE': 'NBA', 'HOMETEAM': 'New York', 'AWAYTEAM': 'Detroit', 'PICK': 'DET', 'LINE': 4.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Detroit'}",Detroit Pistons,New York Knicks,valid,
NBA|PHI|ATL|2026-02-19,NBA,2026-02-19,ATL,PHI,ATL,SIDE,1.5,TheOver,0.5549999999999999,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Philadelphia', 'AWAYTEAM': 'Atlanta', 'PICK': 'ATL', 'LINE': 1.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Atlanta'}",Atlanta Hawks,Philadelphia 76ers,valid,
NBA|SAC|ORL|2026-02-19,NBA,2026-02-19,ORL,SAC,SAC,SIDE,10.5,TheOver,0.465,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Sacramento', 'AWAYTEAM': 'Orlando', 'PICK': 'SAC', 'LINE': 10.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Sacramento'}",Orlando Magic,Sacramento Kings,valid,
NBA|SAS|PHX|2026-02-19,NBA,2026-02-19,PHX,SAS,SA,SIDE,-7.5,TheOver,0.645,"{'LEAGUE': 'NBA', 'HOMETEAM': 'San Antonio', 'AWAYTEAM': 'Phoenix', 'PICK': 'SA', 'LINE': -7.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'San Antonio'}",Phoenix Suns,San Antonio Spurs,potential_mismatch,"PICK 'SA' similar to home code 'SAS' (dist=1), but also close to away 'PHX' (dist=3). Verify correct team."
NBA|WAS|IND|2026-02-19,NBA,2026-02-19,IND,WAS,WAS,SIDE,3.5,TheOver,0.5349999999999999,"{'LEAGUE': 'NBA', 'HOMETEAM': 'Washington', 'AWAYTEAM': 'Indiana', 'PICK': 'WAS', 'LINE': 3.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Washington'}",Indiana Pacers,Washington Wizards,valid,
NCAAB|UAPB|TEX|2026-02-19,NCAAB,2026-02-19,TEX,UAPB,TXSO,SIDE,2.5,TheOver,0.5449999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'AR-Pine Bluff', 'AWAYTEAM': 'Texas Southern', 'PICK': 'TXSO', 'LINE': 2.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Texas Southern'}",Texas Southern,AR-Pine Bluff,unmatched,PICK 'TXSO' doesn't match home 'AR-Pine Bluff' (UAPB) or away 'Texas Southern' (TEX)
NCAAB|APP|MARS|2026-02-19,NCAAB,2026-02-19,MARS,APP,APP,SIDE,-2.5,TheOver,0.595,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Appalachian St.', 'AWAYTEAM': 'Marshall', 'PICK': 'APP', 'LINE': -2.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Appalachian St.'}",Marshall,Appalachian St.,valid,
NCAAB|CSF|UCD|2026-02-19,NCAAB,2026-02-19,UCD,CSF,UCD,SIDE,1.5,TheOver,0.5549999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'CSU Fullerton', 'AWAYTEAM': 'UC Davis', 'PICK': 'UCD', 'LINE': 1.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'UC Davis'}",UC Davis,CSU Fullerton,valid,
NCAAB|CAMP|WIL|2026-02-19,NCAAB,2026-02-19,WIL,CAMP,CAMP,SIDE,1.5,TheOver,0.5549999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Campbell', 'AWAYTEAM': 'William & Mary', 'PICK': 'CAMP', 'LINE': 1.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Campbell'}",William & Mary,Campbell,valid,
NCAAB|CON|LEM|2026-02-19,NCAAB,2026-02-19,LEM,CON,LMC,SIDE,4.5,TheOver,0.525,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Central CT', 'AWAYTEAM': 'Le Moyne', 'PICK': 'LMC', 'LINE': 4.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Le Moyne'}",Le Moyne,Central CT,potential_mismatch,"PICK 'LMC' similar to away code 'LEM' (dist=2), but also close to home 'CON' (dist=3). Verify correct team."
NCAAB|CHST|FDU|2026-02-19,NCAAB,2026-02-19,FDU,CHST,CHS,SIDE,2.5,TheOver,0.5449999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Chicago St.', 'AWAYTEAM': 'FDU', 'PICK': 'CHS', 'LINE': 2.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Chicago St.'}",FDU,Chicago St.,potential_mismatch,"PICK 'CHS' similar to home code 'CHST' (dist=1), but also close to away 'FDU' (dist=3). Verify correct team."
NCAAB|DEN|SOU|2026-02-19,NCAAB,2026-02-19,SOU,DEN,SDAK,SIDE,6.5,TheOver,0.505,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Denver', 'AWAYTEAM': 'South Dakota', 'PICK': 'SDAK', 'LINE': 6.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'South Dakota'}",South Dakota,Denver,unmatched,PICK 'SDAK' doesn't match home 'Denver' (DEN) or away 'South Dakota' (SOU)
NCAAB|EIU|MORE|2026-02-19,NCAAB,2026-02-19,MORE,EIU,EIU,SIDE,2.5,TheOver,0.5449999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Eastern Illinois', 'AWAYTEAM': 'Morehead St.', 'PICK': 'EIU', 'LINE': 2.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Eastern Illinois'}",Morehead St.,Eastern Illinois Panthers,valid,
NCAAB|FAMU|AAMU|2026-02-19,NCAAB,2026-02-19,AAMU,FAMU,AAMU,SIDE,2.5,TheOver,0.5449999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Florida A&M', 'AWAYTEAM': 'Alabama A&M', 'PICK': 'AAMU', 'LINE': 2.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Alabama A&M'}",Alabama A&M,Florida A&M,valid,
NCAAB|UGA|UGA|2026-02-19,NCAAB,2026-02-19,UGA,UGA,GASO,SIDE,1.5,TheOver,0.5549999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Georgia St.', 'AWAYTEAM': 'Georgia Southern', 'PICK': 'GASO', 'LINE': 1.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Morehead State'}",Georgia Southern,Georgia St.,unmatched,PICK 'GASO' doesn't match home 'Georgia St.' (UGA) or away 'Georgia Southern' (UGA)
NCAAB|HPU|UNCA|2026-02-19,NCAAB,2026-02-19,UNCA,HPU,UNCA,SIDE,13.5,TheOver,0.435,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'High Point', 'AWAYTEAM': 'UNC Asheville', 'PICK': 'UNCA', 'LINE': 13.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'UNC Asheville'}",UNC Asheville,High Point,valid,
NCAAB|HOF|HAMP|2026-02-19,NCAAB,2026-02-19,HAMP,HOF,HAMP,SIDE,11.5,TheOver,0.455,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Hofstra', 'AWAYTEAM': 'Hampton', 'PICK': 'HAMP', 'LINE': 11.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Hampton'}",Hampton,Hofstra,valid,
NCAAB|IDST|MONT|2026-02-19,NCAAB,2026-02-19,MONT,IDST,IDST,SIDE,1.5,TheOver,0.5549999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Idaho State', 'AWAYTEAM': 'Montana', 'PICK': 'IDST', 'LINE': 1.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Idaho State'}",Montana,Idaho State,valid,
NCAAB|LIB|FLA|2026-02-19,NCAAB,2026-02-19,FLA,LIB,FIU,SIDE,10.5,TheOver,0.465,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Liberty', 'AWAYTEAM': 'FIU Panthers', 'PICK': 'FIU', 'LINE': 10.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'FIU Panthers'}",FIU Panthers,Liberty,potential_mismatch,"PICK 'FIU' similar to home code 'LIB' (dist=2), but also close to away 'FLA' (dist=2). Verify correct team."
NCAAB|UALR|TEN|2026-02-19,NCAAB,2026-02-19,TEN,UALR,UALR,SIDE,1.5,TheOver,0.5549999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Little Rock', 'AWAYTEAM': 'Tenn-Martin', 'PICK': 'UALR', 'LINE': 1.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'UT Martin'}",Tenn-Martin,Little Rock,valid,
NCAAB|LBSU|UCI|2026-02-19,NCAAB,2026-02-19,UCI,LBSU,LBSU,SIDE,6.5,TheOver,0.505,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Long Beach St.', 'AWAYTEAM': 'UC Irvine', 'PICK': 'LBSU', 'LINE': 6.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Long Beach St.'}",UC Irvine,Long Beach St.,valid,
NCAAB|MER|CHA|2026-02-19,NCAAB,2026-02-19,CHA,MER,MER,SIDE,-10.5,TheOver,0.675,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Mercer', 'AWAYTEAM': 'Chattanooga', 'PICK': 'MER', 'LINE': -10.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Mercer'}",Chattanooga Mocs,Mercer,valid,
NCAAB|MERC|WAG|2026-02-19,NCAAB,2026-02-19,WAG,MERC,WAG,SIDE,5.5,TheOver,0.515,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Mercyhurst', 'AWAYTEAM': 'Wagner', 'PICK': 'WAG', 'LINE': 5.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Wagner'}",Wagner,Mercyhurst,valid,
NCAAB|MVSU|PVAM|2026-02-19,NCAAB,2026-02-19,PVAM,MVSU,MVSU,SIDE,8.5,TheOver,0.485,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Miss Valley St', 'AWAYTEAM': 'Prairie View A&M', 'PICK': 'MVSU', 'LINE': 8.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Miss Valley St'}",Prairie View A&M,Miss Valley St,valid,
NCAAB|NCAT|COFC|2026-02-19,NCAAB,2026-02-19,COFC,NCAT,NCAT,SIDE,3.5,TheOver,0.5349999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'NC A&T', 'AWAYTEAM': 'Charleston', 'PICK': 'NCAT', 'LINE': 3.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'NC A&T'}",Charleston,NC A&T,valid,
NCAAB|NJIT|ALB|2026-02-19,NCAAB,2026-02-19,ALB,NJIT,ALBY,SIDE,2.5,TheOver,0.5449999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'NJIT', 'AWAYTEAM': 'Albany', 'PICK': 'ALBY', 'LINE': 2.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Albany'}",Albany,NJIT,potential_mismatch,"PICK 'ALBY' similar to away code 'ALB' (dist=1), but also close to home 'NJIT' (dist=4). Verify correct team."
NCAAB|NEWH|STON|2026-02-19,NCAAB,2026-02-19,STON,NEWH,STONE,SIDE,2.5,TheOver,0.5449999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'New Haven', 'AWAYTEAM': 'Stonehill', 'PICK': 'STONE', 'LINE': 2.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Stonehill'}",Stonehill,New Haven,potential_mismatch,"PICK 'STONE' similar to away code 'STON' (dist=1), but also close to home 'NEWH' (dist=5). Verify correct team."
NCAAB|UND|UMKC|2026-02-19,NCAAB,2026-02-19,UMKC,UND,UMKC,SIDE,11.5,TheOver,0.455,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'North Dakota', 'AWAYTEAM': 'Kansas City', 'PICK': 'UMKC', 'LINE': 11.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Kansas City'}",Kansas City,North Dakota,valid,
NCAAB|UNF|AUS|2026-02-19,NCAAB,2026-02-19,AUS,UNF,UNF,SIDE,10.5,TheOver,0.465,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'North Florida', 'AWAYTEAM': 'Austin Peay', 'PICK': 'UNF', 'LINE': 10.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Austin Peay'}",Austin Peay,North Florida,valid,
NCAAB|UNT|TULN|2026-02-19,NCAAB,2026-02-19,TULN,UNT,TULN,SIDE,5.5,TheOver,0.515,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'North Texas', 'AWAYTEAM': 'Tulane', 'PICK': 'TULN', 'LINE': 5.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Tulane'}",Tulane Green Wave,North Texas,valid,
NCAAB|NEU|DRE|2026-02-19,NCAAB,2026-02-19,DRE,NEU,NE,SIDE,1.5,TheOver,0.5549999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Northeastern', 'AWAYTEAM': 'Drexel', 'PICK': 'NE', 'LINE': 1.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Northeastern'}",Drexel,Northeastern,potential_mismatch,"PICK 'NE' similar to home code 'NEU' (dist=1), but also close to away 'DRE' (dist=2). Verify correct team."
NCAAB|PSU|IDA|2026-02-19,NCAAB,2026-02-19,IDA,PSU,IDHO,SIDE,3.5,TheOver,0.5349999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Portland St.', 'AWAYTEAM': 'Idaho', 'PICK': 'IDHO', 'LINE': 3.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Idaho'}",Idaho,Portland St.,potential_mismatch,"PICK 'IDHO' similar to away code 'IDA' (dist=2), but also close to home 'PSU' (dist=4). Verify correct team."
NCAAB|PRE|GW|2026-02-19,NCAAB,2026-02-19,GW,PRE,LONG,SIDE,2.5,TheOver,0.5449999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Presbyterian', 'AWAYTEAM': 'Longwood', 'PICK': 'LONG', 'LINE': 2.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Longwood'}",Longwood,Presbyterian,valid_name_match,
NCAAB|RAD|GW|2026-02-19,NCAAB,2026-02-19,GW,RAD,WEBB,SIDE,19.5,TheOver,0.375,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'Radford', 'AWAYTEAM': 'Gardner-Webb', 'PICK': 'WEBB', 'LINE': 19.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Gardner-Webb'}",Gardner-Webb,Radford,valid_name_match,
NCAAB|SOAL|TEX|2026-02-19,NCAAB,2026-02-19,TEX,SOAL,TXST,SIDE,2.5,TheOver,0.5449999999999999,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'South Alabama', 'AWAYTEAM': 'Texas State', 'PICK': 'TXST', 'LINE': 2.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Texas State'}",Texas State,South Alabama,unmatched,PICK 'TXST' doesn't match home 'South Alabama' (SOAL) or away 'Texas State' (TEX)
NCAAB|USF|MEM|2026-02-19,NCAAB,2026-02-19,MEM,USF,MEM,SIDE,8.5,TheOver,0.485,"{'LEAGUE': 'NCAAB', 'HOMETEAM': 'South Florida', 'AWAYTEAM': 'Memphis', 'PICK': 'MEM', 'LINE': 8.5, 'WINPROBABILITY': nan, 'MARKET': 'Spread', 'PICKTEAM': 'Memphis'}",Memphis Tigers,South Florida,valid,
