parlay_rank,league,home_team,away_team,game_date,game_time_est,best_pick,calibrated_probability,expected_value,edge,consensus_agreement,odds_american,market_probability,ml_probability
135,NCAAB,Texas Christian,Cincinnati,2026-03-07 00:00:00+00:00,,Texas Christian +1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
136,NCAAB,Towson,Hampton,2026-03-07 00:00:00+00:00,,Towson -6.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
137,NCAAB,UC Irvine,UC Davis,2026-03-07 00:00:00+00:00,,UC Irvine -8.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
138,NCAAB,UCSB,UC San Diego,2026-03-07 00:00:00+00:00,,UCSB -1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
139,NCAAB,UMBC,New Hampshire,2026-03-07 00:00:00+00:00,,UMBC -12.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
140,NCAAB,UTEP,Jacksonville St.,2026-03-07 00:00:00+00:00,,UTEP -1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
141,NCAAB,Utah St.,New Mexico,2026-03-07 00:00:00+00:00,,Utah St. -7.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
142,NCAAB,Utah Tech,Utah Valley,2026-03-07 00:00:00+00:00,,Utah Tech +7.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
143,NCAAB,Vermont,Bryant,2026-03-07 00:00:00+00:00,,Vermont -13.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
144,NCAAB,Villanova,Xavier,2026-03-07 00:00:00+00:00,,Villanova -11.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
145,NCAAB,Virginia,Virginia Tech,2026-03-07 00:00:00+00:00,,Virginia +11.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
146,NCAAB,Wake Forest,California,2026-03-07 00:00:00+00:00,,Wake Forest -5.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
147,NCAAB,Wichita St.,Florida Atlantic,2026-03-07 00:00:00+00:00,,Wichita St. -7.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
148,NCAAB,William & Mary,Elon University,2026-03-07 00:00:00+00:00,,William & Mary -4.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
149,NCAAB,Winthrop,Presbyterian,2026-03-07 00:00:00+00:00,,Winthrop -6.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
150,NCAAB,Wofford,UNC Greensboro,2026-03-07 00:00:00+00:00,,Wofford -5.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
151,NCAAB,Yale,Princeton,2026-03-07 00:00:00+00:00,,Yale -13.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
152,NCAAB,Connecticut,Marquette,2026-03-07 00:00:00+00:00,,Over 142.5,0.5232142856476192,-0.0011363637636360724,-0.0005952381619046543,⚪ No Kalshi,-110.0,0.5238095238095238,
153,NHL,Washington,Boston,2026-03-07 00:00:00+00:00,,Under 6.0,0.5232142856476192,-0.0011363637636360724,-0.0005952381619046543,⚪ No Kalshi,-110.0,0.5238095238095238,
154,NCAAB,Arkansas,Missouri,2026-03-07 00:00:00+00:00,,Over 162.5,0.5190476190476191,-0.009090909090908983,-0.004761904761904745,⚪ No Kalshi,-110.0,0.5238095238095238,
155,NCAAB,Butler,DePaul,2026-03-07 00:00:00+00:00,,Under 144.5,0.5190476190476191,-0.009090909090908983,-0.004761904761904745,⚪ No Kalshi,-110.0,0.5238095238095238,
156,NCAAB,Campbell,Stony Brook,2026-03-07 00:00:00+00:00,,Under 146.5,0.5190476190476191,-0.009090909090908983,-0.004761904761904745,⚪ No Kalshi,-110.0,0.5238095238095238,
157,NCAAB,Davidson,St Bonaventure,2026-03-07 00:00:00+00:00,,Over 141.5,0.5190476190476191,-0.009090909090908983,-0.004761904761904745,⚪ No Kalshi,-110.0,0.5238095238095238,
158,NCAAB,Georgia Tech,Clemson,2026-03-07 00:00:00+00:00,,Over 142.5,0.5190476190476191,-0.009090909090908983,-0.004761904761904745,⚪ No Kalshi,-110.0,0.5238095238095238,
159,NCAAB,Houston,Oklahoma State,2026-03-07 00:00:00+00:00,,Under 150.5,0.5190476190476191,-0.009090909090908983,-0.004761904761904745,⚪ No Kalshi,-110.0,0.5238095238095238,
160,NCAAB,Louisiana Tech,Delaware,2026-03-07 00:00:00+00:00,,Under 133.5,0.5190476190476191,-0.009090909090908983,-0.004761904761904745,⚪ No Kalshi,-110.0,0.5238095238095238,
161,NCAAB,Stonehill,Mercyhurst,2026-03-07 00:00:00+00:00,,Under 133.5,0.5190476190476191,-0.009090909090908983,-0.004761904761904745,⚪ No Kalshi,-110.0,0.5238095238095238,
162,NCAAB,UNC Asheville,High Point,2026-03-07 00:00:00+00:00,,Over 148.5,0.5190476190476191,-0.009090909090908983,-0.004761904761904745,⚪ No Kalshi,-110.0,0.5238095238095238,
163,NCAAB,Virginia Tech,Virginia,2026-03-07 00:00:00+00:00,,Over 144.5,0.5190476190476191,-0.009090909090908983,-0.004761904761904745,⚪ No Kalshi,-110.0,0.5238095238095238,
164,NCAAB,Xavier,Villanova,2026-03-07 00:00:00+00:00,,Under 151.5,0.5190476190476191,-0.009090909090908983,-0.004761904761904745,⚪ No Kalshi,-110.0,0.5238095238095238,
