Triple_Filter_Rank,parlay_rank,league,home_team,away_team,game_date,game_time_est,market_type,best_pick,Pick_Status,calibrated_probability,expected_value,edge,consensus_agreement,odds_american,odds_source,market_probability,ml_probability,display_probability,kalshi_probability,kalshi_match_status,kalshi_match_reason,gemini_explanation,gemini_risk_notes,used_stale_features,Pick_Quality,Conviction_Score
1,1,NHL,Colorado,Anaheim,2026-03-30 00:00:00+00:00,2026-03-30 12:00 AM ET,total_over,Over 6.5,No Play,0.5200504752244544,-0.00576,-0.0038,❌ Disagrees,-110.0,,0.5238095238095238,0.5334775482603459,0.533,0.615,matched,total_match_exact,,,False,D-Tier (Weak/Negative),0.5085304752244544
2,2,NHL,Tampa Bay,Florida,2026-03-30 00:00:00+00:00,2026-03-30 12:00 AM ET,spread_home,Tampa Bay -1.5,No Play,0.5236160754633881,-0.016880000000000003,-0.0113,⚪ No Kalshi,-115.0,uploaded,0.5348837209302325,0.5325907803937333,0.533,,miss,no_suitable_market_in_event,,,False,D-Tier (Weak/Negative),0.48985607546338805
